time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z
11.412032,3.64,7.7,58.66,57.0,3.619067131270967,991.0,-0.5758195199999999,0.023458560000000017,-0.38136095999999997
11.492001408,-5.88,15.4,34.09,57.80953356563548,4.0,991.8095335656354,-0.57461997888,0.019859936639999996,-0.38376004224
11.571970816,-10.15,5.11,49.63,58.80953486138677,3.190465138613226,989.5713954158397,-0.57234087552,0.025977373439999937,-0.38076131328
11.651940096,-5.81,-6.3,56.98,58.190466434364495,4.619067131271011,989.0,-0.5715,0.031616405759999966,-0.37794179712000003
11.731909504,4.97,-2.59,23.8,58.0,2.5713993030934836,989.8095335656355,-0.57197864256,0.031628144640000015,-0.37793592768
11.811878912000001,1.75,-3.64,11.2,40.19023304949088,7.6667440297074485,977.8569770791984,-0.573,0.025321816319999996,-0.38153455104
11.891848320000001,-2.1,0.98,1.12,-58.71561445096671,-63.048629796034504,1030.857926471083,-0.573,0.024122275199999987,-0.38513317440000006
11.971817600000001,-1.82,1.6800001,-1.75,-59.952127293476856,28.47749779515773,1025.3807279903833,-0.5762317920000001,0.024,-0.3855
12.051787008000002,-1.75,0.84000003,-1.4,54.287206287215085,31.333023881170206,989.4281404059157,-0.5775,0.024776805120000012,-0.38316958463999995
12.131756416,-1.75,1.26,-2.59,62.19022634255376,-20.953039642358277,1028.9530396423584,-0.57845269248,0.027881731199999902,-0.38052365376
12.211725696,-1.82,0.91,-1.05,80.66693983779354,6.04807758486772,996.2851874556839,-0.5813794271999999,0.03405531263999993,-0.37985177088
12.291695104,-1.82,1.05,-0.77,91.66674402970742,40.90511556437677,980.3332559702926,-0.5873771327999999,0.041252559359999975,-0.38225085312
12.371664512,-1.6800001,1.26,-0.77,78.42836700754359,45.380929667504844,981.4286054987427,-0.58585006464,0.05274967680000003,-0.38572490304
12.451633792,-1.6800001,1.19,-1.26,23.999385364963153,50.66673495944854,983.619067131271,-0.5803529587199999,0.0717156307200002,-0.38545098624
12.531603200000001,-1.82,0.98,-1.4,71.09604488123483,9.904187207887524,1026.0958127921124,-0.5722076159999999,0.09450691200000018,-0.384
12.611572608000001,-1.89,0.98,-1.26,71.23790217379116,3.238140664990315,952.6178778764994,-0.56156975232,0.11781896063999996,-0.38452076736
12.691541888000001,-1.96,0.63,-1.26,51.80932868728989,37.19087619105573,967.8099433223267,-0.5447762035199999,0.14420882304000013,-0.38811938496000004
12.771511296000002,-1.82,0.77,-1.19,54.476278891094225,9.380466098981756,932.2851174851139,-0.5215466111999998,0.17059872768000028,-0.38635466112
12.851480704,-2.03,0.56,-0.35,73.80977365744624,-13.571632992456017,1011.0488682872312,-0.50064463647636,0.18849431242250245,-0.3855
12.931449984,-1.89,0.7,0.63,63.4283958185613,-13.761865737458066,999.6186573745806,-0.4851996450497956,0.1974500887375511,-0.3845499112624489
13.011419392,-1.82,1.05,-1.19,64.04767430693387,20.190929316857734,970.1425587425571,-0.4759022132397391,0.20132964460043482,-0.3825
13.0913888,-1.6800001,1.47,-1.33,52.85697250628632,14.237902173791161,982.8097736574467,-0.46865469541691435,0.21340884097180945,-0.3825
13.171358080000001,-1.89,1.26,-1.33,29.76166085911236,20.714402787626064,986.1904664343645,-0.45261675495920495,0.2276856386063958,-0.38359880321719964
13.251327488000001,-1.89,1.12,-1.19,37.95253705016809,5.1902615560188785,989.2381342625421,-0.4502268934858236,0.2276596597712646,-0.38157982988563227
13.331296896000001,-1.75,1.05,-1.54,18.333023881170206,-3.8572091683206704,998.9048834752546,-0.4596903677351997,0.21938285062449248,-0.38104393101581535
13.411266176000002,-1.75,1.26,-1.82,57.5243461099528,-26.047872706523144,995.3332650405515,-0.46982924825122996,0.21127743883802014,-0.384
13.491235584,-1.75,0.49,-1.26,49.38072799038389,-22.904664343645166,994.0,-0.45533421260558044,0.21006952725368025,-0.384
13.571204992,-2.1,0.28,-0.63,49.85720916832054,-20.190465138613245,994.8095348613867,-0.43970077503992505,0.2122768062506654,-0.38286159807999426
13.6511744,-1.75,0.7,7.14,49.38092966750489,-9.476042838781765,990.9523241687622,-0.42653678480427426,0.21469264529600554,-0.38165367735199723
13.73114368,-2.59,5.04,28.77,46.57139930309349,-6.190466434364499,991.619067131271,-0.4177830478329946,0.2176627235828421,-0.3804457588057193
13.811113088,-2.38,4.41,18.69,46.0,-6.809534861386778,991.1904651386133,-0.41478648249425454,0.22102432166283636,-0.38054864332567273
13.891082496000001,-2.03,3.08,19.04,43.57139450125727,-5.380929667504843,992.6190703324952,-0.41841024140566696,0.2234401609371113,-0.3853803218742226
13.971051776000001,-2.17,-0.63,25.9,43.809533565635505,-5.809533565635506,991.380932868729,-0.4173220003093461,0.2235,-0.3843220003093461
14.051021184000001,0.91,-5.6,96.39,46.42860458416033,-6.0,989.3809302772264,-0.41522816051433875,0.2226140802571694,-0.3831140802571694
14.130990592000002,-1.4,2.73,118.86,45.380929667504844,-5.190464833752421,988.1904648337525,-0.4157815181399042,0.21962464248012772,-0.38546920481769875
14.210959872,-3.08,4.97,121.94,45.80953356563548,-5.809533565635483,989.619067131271,-0.42000878736321096,0.216,-0.38879298608599827
14.29092928,-0.7,3.99,102.69,46.0,-4.380930277226488,992.4286045841602,-0.425980642691514,0.215990321345757,-0.384
14.370898688,1.6800001,-17.85,117.39,45.19046483375242,-7.238140664990298,991.3809296675048,-0.42356480341723907,0.21478240170861954,-0.384
14.450867968,-0.84000003,3.57,93.52,45.0,-3.952332171822472,991.8095335656355,-0.41929793124782494,0.21635103437608752,-0.38585103437608753
14.530837376000001,-0.91,2.03,72.8,47.42860458416033,33.429068762405024,974.1902330494909,-0.4163665708801788,0.21940031269696622,-0.3863665624343446
