TIMESTAMP X(mg) Y(mg) Z(mg)
805151424852010880 -1000 21 -55
805151424928346112 -912 281 -6
805151425004681344 -1017 163 -41
805151425081016576 -1067 -9 5
805151425157351808 -1045 108 65
805151425233687168 -1037 106 -1
805151425310022400 -1027 106 -10
805151425386357632 -1046 90 24
805151425462692864 -1075 156 -41
805151425539028224 -1029 92 -36
805151425615363456 -1048 60 40
805151425691698688 -1029 105 -5
805151425768033920 -974 168 60
805151425844369152 -1022 148 56
805151425920704512 -1021 152 78
805151425997039744 -1005 141 118
805151426073374976 -658 490 461
805151426149710208 -407 477 -364
805151426226045568 -1041 41 -160
805151426302380800 -1000 123 170
805151426378716032 -1118 74 83
805151426455051264 -1052 168 113
805151426531386496 -956 118 184
805151426607721856 -998 180 116
805151426684057088 -1009 200 -20
805151426760392320 -1034 161 11
805151426836727552 -1027 170 71
805151426913062784 -1022 202 -101
805151426989398144 -1046 326 -579
805151427065733376 -1084 123 -46
805151427142068608 -1041 105 35
805151427218403840 -1023 113 52
805151427294739200 -942 83 -37
805151427371074432 -1031 91 31
805151427447409664 -1037 79 36
805151427523744896 -1030 93 58
805151427600080128 -1031 100 46
805151427676415488 -1027 91 71
805151427752750720 -1025 118 31
805151427829085952 -1036 101 37
805151427905421184 -980 117 61
805151427981756544 -1029 101 44
805151428058091776 -1036 89 42
805151428134427008 -1036 96 44
805151428210762240 -1033 99 22
805151428287097472 -1035 93 48
805151428363432832 -1032 104 21
805151428439768064 -1023 118 32
805151428516103296 -1038 99 34
805151428592438528 -1031 108 41
805151428668773888 -1034 110 32
805151428745109120 -1025 127 17
805151428821444352 -1026 125 20
805151428897779584 -1027 120 10
805151428974114816 -1030 117 -5
805151429050450176 -1031 110 4
805151429126785408 -1035 113 31
805151429203120651 -1030 111 -13
805151429279455616 -1028 111 -27
805151429355790592 -1031 100 -13
805151429432125696 -1043 86 27
805151429508460672 -1031 105 16
805151429584795776 -1030 111 10
805151429661130752 -1035 76 15
805151429737465728 -1037 126 20
805151429813800832 -981 227 -6
805151429890135808 -1024 153 60
805151429966470784 -1028 164 -13
805151430042805888 -1033 150 17
805151430119140864 -1027 151 13
805151430195475968 -1024 145 -57
805151430271810944 -1029 152 -12
805151430348145920 -1031 151 4
805151430424481024 -1021 173 22
805151430500816000 -1028 162 -20
805151430577151104 -1253 -315 159
805151430653486080 -1021 -26 59
805151430729821056 -1043 -83 37
805151430806156160 -1036 -32 -5
805151430882491136 -1044 46 -13
805151430958826240 -1027 40 -54
805151431035161216 -1096 42 14
805151431111496192 -1018 38 128
805151431187831296 -1010 2 213
805151431264166272 -1004 157 99
805151431340501248 -1025 154 67
805151431416836352 -1031 186 -105
